timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1569224881496,112,JSR223 Sampler,200,OK,manual assign job 1-30,text,true,,320,0,70,70,0,0,0
1569224881500,142,JSR223 Sampler,200,OK,manual assign job 1-67,text,true,,320,0,70,70,0,0,0
1569224881549,117,JSR223 Sampler,200,OK,manual assign job 1-38,text,true,,320,0,70,70,0,0,0
1569224862128,20920,HTTPREQ Manaul Assign,200,OK,manual assign job 1-31,text,true,,999,903,70,70,20920,0,53
1569224862128,20920,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-31,,true,,999,903,70,70,20920,5,53
1569224862174,20903,HTTPREQ Manaul Assign,200,OK,manual assign job 1-1,text,true,,999,902,70,70,20903,0,78
1569224862173,20903,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-1,,true,,999,902,70,70,20903,4,78
1569224862126,20956,HTTPREQ Manaul Assign,200,OK,manual assign job 1-47,text,true,,999,903,70,70,20956,0,48
1569224862126,20956,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-47,,true,,999,903,70,70,20956,4,48
1569224862132,20954,HTTPREQ Manaul Assign,200,OK,manual assign job 1-32,text,true,,999,903,70,70,20954,0,50
1569224870262,12826,HTTPREQ Manaul Assign,200,OK,manual assign job 1-34,text,true,,999,903,70,70,12826,0,48
1569224869027,14066,HTTPREQ Manaul Assign,200,OK,manual assign job 1-20,text,true,,999,903,70,70,14066,0,47
1569224862132,20954,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-32,,true,,999,903,70,70,20954,10,50
1569224870262,12826,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-34,,true,,999,903,70,70,12826,15,48
1569224870020,13085,HTTPREQ Manaul Assign,200,OK,manual assign job 1-27,text,true,,999,903,70,70,13085,0,46
1569224883056,64,JSR223 Sampler,200,OK,manual assign job 1-31,text,true,,320,0,70,70,0,0,0
1569224869027,14066,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-20,,true,,999,903,70,70,14066,14,47
